I (4878) wifi_lib: DONE with packet: 1, SEQ: 0
I (17268) wifi_lib: DONE with packet: 2, SEQ: 68
I (17388) wifi_lib: DONE with packet: 1, SEQ: 69
I (17448) wifi_lib: DONE with packet: 2, SEQ: 69
I (17548) wifi_lib: DONE with packet: 1, SEQ: 70
I (17618) wifi_lib: DONE with packet: 2, SEQ: 70
I (17708) wifi_lib: DONE with packet: 1, SEQ: 71
I (17778) wifi_lib: DONE with packet: 2, SEQ: 71
I (17888) wifi_lib: DONE with packet: 1, SEQ: 72
I (17968) wifi_lib: DONE with packet: 2, SEQ: 72
I (18078) wifi_lib: DONE with packet: 1, SEQ: 73
I (18138) wifi_lib: DONE with packet: 2, SEQ: 73
I (18238) wifi_lib: DONE with packet: 1, SEQ: 74
I (18298) wifi_lib: DONE with packet: 2, SEQ: 74
I (18408) wifi_lib: DONE with packet: 1, SEQ: 75
I (18458) wifi_lib: DONE with packet: 2, SEQ: 75
I (18658) wifi_lib: DONE with packet: 1, SEQ: 76
I (18718) wifi_lib: DONE with packet: 2, SEQ: 76
I (18908) wifi_lib: DONE with packet: 1, SEQ: 77
I (18968) wifi_lib: DONE with packet: 2, SEQ: 77
I (19058) wifi_lib: DONE with packet: 1, SEQ: 78
I (19138) wifi_lib: DONE with packet: 2, SEQ: 78
I (19238) wifi_lib: DONE with packet: 1, SEQ: 79
I (19298) wifi_lib: DONE with packet: 2, SEQ: 79
I (19398) wifi_lib: DONE with packet: 1, SEQ: 80
I (19458) wifi_lib: DONE with packet: 2, SEQ: 80
I (19558) wifi_lib: DONE with packet: 1, SEQ: 81
I (19638) wifi_lib: DONE with packet: 2, SEQ: 81
I (19738) wifi_lib: DONE with packet: 1, SEQ: 82
I (19798) wifi_lib: DONE with packet: 2, SEQ: 82
I (19908) wifi_lib: DONE with packet: 1, SEQ: 83
I (19978) wifi_lib: DONE with packet: 2, SEQ: 83
I (20098) wifi_lib: DONE with packet: 1, SEQ: 84
I (20158) wifi_lib: DONE with packet: 2, SEQ: 84
I (20338) wifi_lib: DONE with packet: 1, SEQ: 85
I (20398) wifi_lib: DONE with packet: 2, SEQ: 85
I (20588) wifi_lib: DONE with packet: 1, SEQ: 86
I (20638) wifi_lib: DONE with packet: 2, SEQ: 86
I (20768) wifi_lib: DONE with packet: 1, SEQ: 87
I (20818) wifi_lib: DONE with packet: 2, SEQ: 87
I (20928) wifi_lib: DONE with packet: 1, SEQ: 88
I (20988) wifi_lib: DONE with packet: 2, SEQ: 88
I (21098) wifi_lib: DONE with packet: 1, SEQ: 89
I (21178) wifi_lib: DONE with packet: 2, SEQ: 89
I (21278) wifi_lib: DONE with packet: 1, SEQ: 90
I (21338) wifi_lib: DONE with packet: 2, SEQ: 90
I (21458) wifi_lib: DONE with packet: 1, SEQ: 91
I (21508) wifi_lib: DONE with packet: 2, SEQ: 91
I (21628) wifi_lib: DONE with packet: 1, SEQ: 92
I (21678) wifi_lib: DONE with packet: 2, SEQ: 92
I (21938) wifi_lib: DONE with packet: 1, SEQ: 93
I (21998) wifi_lib: DONE with packet: 2, SEQ: 93
I (22178) wifi_lib: DONE with packet: 1, SEQ: 94
I (22248) wifi_lib: DONE with packet: 2, SEQ: 94
I (22498) wifi_lib: DONE with packet: 1, SEQ: 95
I (22558) wifi_lib: DONE with packet: 2, SEQ: 95
I (22658) wifi_lib: DONE with packet: 1, SEQ: 96
I (22728) wifi_lib: DONE with packet: 2, SEQ: 96
I (22978) wifi_lib: DONE with packet: 1, SEQ: 97
I (23038) wifi_lib: DONE with packet: 2, SEQ: 97
I (23218) wifi_lib: DONE with packet: 1, SEQ: 98
I (23278) wifi_lib: DONE with packet: 2, SEQ: 98
I (23368) wifi_lib: DONE with packet: 1, SEQ: 99
I (23448) wifi_lib: DONE with packet: 2, SEQ: 99
I (23548) wifi_lib: DONE with packet: 1, SEQ: 100
I (23628) wifi_lib: DONE with packet: 2, SEQ: 100
I (23728) wifi_lib: DONE with packet: 1, SEQ: 101
I (23798) wifi_lib: DONE with packet: 2, SEQ: 101
I (23908) wifi_lib: DONE with packet: 1, SEQ: 102
I (23978) wifi_lib: DONE with packet: 2, SEQ: 102
I (24088) wifi_lib: DONE with packet: 1, SEQ: 103
I (24138) wifi_lib: DONE with packet: 2, SEQ: 103
I (24248) wifi_lib: DONE with packet: 1, SEQ: 104
I (24318) wifi_lib: DONE with packet: 2, SEQ: 104
I (24428) wifi_lib: DONE with packet: 1, SEQ: 105
I (24488) wifi_lib: DONE with packet: 2, SEQ: 105
I (24588) wifi_lib: DONE with packet: 1, SEQ: 106
I (24668) wifi_lib: DONE with packet: 2, SEQ: 106
I (24758) wifi_lib: DONE with packet: 1, SEQ: 107
I (24838) wifi_lib: DONE with packet: 2, SEQ: 107
I (24948) wifi_lib: DONE with packet: 1, SEQ: 108
I (25008) wifi_lib: DONE with packet: 2, SEQ: 108
I (25128) wifi_lib: DONE with packet: 1, SEQ: 109
I (25188) wifi_lib: DONE with packet: 2, SEQ: 109
I (25298) wifi_lib: DONE with packet: 1, SEQ: 110
I (25368) wifi_lib: DONE with packet: 2, SEQ: 110
I (25468) wifi_lib: DONE with packet: 1, SEQ: 111
I (25538) wifi_lib: DONE with packet: 2, SEQ: 111
I (25638) wifi_lib: DONE with packet: 1, SEQ: 112
I (25718) wifi_lib: DONE with packet: 2, SEQ: 112
I (25818) wifi_lib: DONE with packet: 1, SEQ: 113
I (25888) wifi_lib: DONE with packet: 2, SEQ: 113
I (26008) wifi_lib: DONE with packet: 1, SEQ: 114
I (26058) wifi_lib: DONE with packet: 2, SEQ: 114
I (26168) wifi_lib: DONE with packet: 1, SEQ: 115
I (26238) wifi_lib: DONE with packet: 2, SEQ: 115
I (26328) wifi_lib: DONE with packet: 1, SEQ: 116
I (26398) wifi_lib: DONE with packet: 2, SEQ: 116
I (26498) wifi_lib: DONE with packet: 1, SEQ: 117
I (26568) wifi_lib: DONE with packet: 2, SEQ: 117
I (26668) wifi_lib: DONE with packet: 1, SEQ: 118
I (26738) wifi_lib: DONE with packet: 2, SEQ: 118
I (26838) wifi_lib: DONE with packet: 1, SEQ: 119
I (26908) wifi_lib: DONE with packet: 2, SEQ: 119
I (26998) wifi_lib: DONE with packet: 1, SEQ: 120
I (27058) wifi_lib: DONE with packet: 2, SEQ: 120
I (27168) wifi_lib: DONE with packet: 1, SEQ: 121
I (27228) wifi_lib: DONE with packet: 2, SEQ: 121
I (27328) wifi_lib: DONE with packet: 1, SEQ: 122
I (27398) wifi_lib: DONE with packet: 2, SEQ: 122
I (27498) wifi_lib: DONE with packet: 1, SEQ: 123
I (27568) wifi_lib: DONE with packet: 2, SEQ: 123
I (27668) wifi_lib: DONE with packet: 1, SEQ: 124
I (27738) wifi_lib: DONE with packet: 2, SEQ: 124
I (27848) wifi_lib: DONE with packet: 1, SEQ: 125
I (27898) wifi_lib: DONE with packet: 2, SEQ: 125
I (28008) wifi_lib: DONE with packet: 1, SEQ: 126
I (28058) wifi_lib: DONE with packet: 2, SEQ: 126
I (28168) wifi_lib: DONE with packet: 1, SEQ: 127
I (28218) wifi_lib: DONE with packet: 2, SEQ: 127
I (28328) wifi_lib: DONE with packet: 1, SEQ: 128
I (28398) wifi_lib: DONE with packet: 2, SEQ: 128
I (28508) wifi_lib: DONE with packet: 1, SEQ: 129
I (28558) wifi_lib: DONE with packet: 2, SEQ: 129
I (28658) wifi_lib: DONE with packet: 1, SEQ: 130
I (28718) wifi_lib: DONE with packet: 2, SEQ: 130
I (28818) wifi_lib: DONE with packet: 1, SEQ: 131
I (28878) wifi_lib: DONE with packet: 2, SEQ: 131
I (28988) wifi_lib: DONE with packet: 1, SEQ: 132
I (29048) wifi_lib: DONE with packet: 2, SEQ: 132
I (29148) wifi_lib: DONE with packet: 1, SEQ: 133
I (29218) wifi_lib: DONE with packet: 2, SEQ: 133
I (29318) wifi_lib: DONE with packet: 1, SEQ: 134
I (29378) wifi_lib: DONE with packet: 2, SEQ: 134
I (29478) wifi_lib: DONE with packet: 1, SEQ: 135
I (29548) wifi_lib: DONE with packet: 2, SEQ: 135
I (29648) wifi_lib: DONE with packet: 1, SEQ: 136
I (29718) wifi_lib: DONE with packet: 2, SEQ: 136
I (29838) wifi_lib: DONE with packet: 1, SEQ: 137
I (29898) wifi_lib: DONE with packet: 2, SEQ: 137
I (30008) wifi_lib: DONE with packet: 1, SEQ: 138
I (30058) wifi_lib: DONE with packet: 2, SEQ: 138
I (30168) wifi_lib: DONE with packet: 1, SEQ: 139
I (30228) wifi_lib: DONE with packet: 2, SEQ: 139
I (30338) wifi_lib: DONE with packet: 1, SEQ: 140
I (30388) wifi_lib: DONE with packet: 2, SEQ: 140
I (30498) wifi_lib: DONE with packet: 1, SEQ: 141
I (30568) wifi_lib: DONE with packet: 2, SEQ: 141
I (30818) wifi_lib: DONE with packet: 1, SEQ: 142
I (30868) wifi_lib: DONE with packet: 2, SEQ: 142
I (30978) wifi_lib: DONE with packet: 1, SEQ: 143
I (31038) wifi_lib: DONE with packet: 2, SEQ: 143
I (31288) wifi_lib: DONE with packet: 1, SEQ: 144
I (31368) wifi_lib: DONE with packet: 2, SEQ: 144
I (31468) wifi_lib: DONE with packet: 1, SEQ: 145
I (31538) wifi_lib: DONE with packet: 2, SEQ: 145
I (31628) wifi_lib: DONE with packet: 1, SEQ: 146
I (31708) wifi_lib: DONE with packet: 2, SEQ: 146
I (31818) wifi_lib: DONE with packet: 1, SEQ: 147
I (31878) wifi_lib: DONE with packet: 2, SEQ: 147
I (31988) wifi_lib: DONE with packet: 1, SEQ: 148
I (32058) wifi_lib: DONE with packet: 2, SEQ: 148
I (32178) wifi_lib: DONE with packet: 1, SEQ: 149
I (32228) wifi_lib: DONE with packet: 2, SEQ: 149
I (32338) wifi_lib: DONE with packet: 1, SEQ: 150
I (32418) wifi_lib: DONE with packet: 2, SEQ: 150
I (32508) wifi_lib: DONE with packet: 1, SEQ: 151
I (32588) wifi_lib: DONE with packet: 2, SEQ: 151
I (32728) wifi_lib: DONE with packet: 1, SEQ: 152
I (32778) wifi_lib: DONE with packet: 2, SEQ: 152
I (32898) wifi_lib: DONE with packet: 1, SEQ: 153
I (32948) wifi_lib: DONE with packet: 2, SEQ: 153
I (33058) wifi_lib: DONE with packet: 1, SEQ: 154
I (33118) wifi_lib: DONE with packet: 2, SEQ: 154
I (33208) wifi_lib: DONE with packet: 1, SEQ: 155
I (33288) wifi_lib: DONE with packet: 2, SEQ: 155
I (33398) wifi_lib: DONE with packet: 1, SEQ: 156
I (33458) wifi_lib: DONE with packet: 2, SEQ: 156
I (33558) wifi_lib: DONE with packet: 1, SEQ: 157
I (33628) wifi_lib: DONE with packet: 2, SEQ: 157
I (33738) wifi_lib: DONE with packet: 1, SEQ: 158
I (33798) wifi_lib: DONE with packet: 2, SEQ: 158
I (33908) wifi_lib: DONE with packet: 1, SEQ: 159
I (33968) wifi_lib: DONE with packet: 2, SEQ: 159
I (34168) wifi_lib: DONE with packet: 1, SEQ: 160
I (34228) wifi_lib: DONE with packet: 2, SEQ: 160
I (34408) wifi_lib: DONE with packet: 1, SEQ: 161
I (34458) wifi_lib: DONE with packet: 2, SEQ: 161
I (34668) wifi_lib: DONE with packet: 1, SEQ: 162
I (34728) wifi_lib: DONE with packet: 2, SEQ: 162
I (34968) wifi_lib: DONE with packet: 1, SEQ: 163
I (35028) wifi_lib: DONE with packet: 2, SEQ: 163
I (35218) wifi_lib: DONE with packet: 1, SEQ: 164
I (35278) wifi_lib: DONE with packet: 2, SEQ: 164
I (35378) wifi_lib: DONE with packet: 1, SEQ: 165
I (35468) wifi_lib: DONE with packet: 2, SEQ: 165
I (35578) wifi_lib: DONE with packet: 1, SEQ: 166
I (35648) wifi_lib: DONE with packet: 2, SEQ: 166
I (35758) wifi_lib: DONE with packet: 1, SEQ: 167
I (35808) wifi_lib: DONE with packet: 2, SEQ: 167
I (35918) wifi_lib: DONE with packet: 1, SEQ: 168
I (35968) wifi_lib: DONE with packet: 2, SEQ: 168
I (36078) wifi_lib: DONE with packet: 1, SEQ: 169
I (36138) wifi_lib: DONE with packet: 2, SEQ: 169
I (36248) wifi_lib: DONE with packet: 1, SEQ: 170
I (36308) wifi_lib: DONE with packet: 2, SEQ: 170
I (36418) wifi_lib: DONE with packet: 1, SEQ: 171
I (36478) wifi_lib: DONE with packet: 2, SEQ: 171
I (36568) wifi_lib: DONE with packet: 1, SEQ: 172
I (36648) wifi_lib: DONE with packet: 2, SEQ: 172
I (36758) wifi_lib: DONE with packet: 1, SEQ: 173
I (36818) wifi_lib: DONE with packet: 2, SEQ: 173
I (36928) wifi_lib: DONE with packet: 1, SEQ: 174
I (36998) wifi_lib: DONE with packet: 2, SEQ: 174
I (37108) wifi_lib: DONE with packet: 1, SEQ: 175
I (37178) wifi_lib: DONE with packet: 2, SEQ: 175
I (37288) wifi_lib: DONE with packet: 1, SEQ: 176
I (37338) wifi_lib: DONE with packet: 2, SEQ: 176
I (37448) wifi_lib: DONE with packet: 1, SEQ: 177
I (37508) wifi_lib: DONE with packet: 2, SEQ: 177
I (37618) wifi_lib: DONE with packet: 1, SEQ: 178
I (37678) wifi_lib: DONE with packet: 2, SEQ: 178
I (37768) wifi_lib: DONE with packet: 1, SEQ: 179
I (37848) wifi_lib: DONE with packet: 2, SEQ: 179
I (37948) wifi_lib: DONE with packet: 1, SEQ: 180
I (38018) wifi_lib: DONE with packet: 2, SEQ: 180
I (38118) wifi_lib: DONE with packet: 1, SEQ: 181
I (38188) wifi_lib: DONE with packet: 2, SEQ: 181
I (38308) wifi_lib: DONE with packet: 1, SEQ: 182
I (38358) wifi_lib: DONE with packet: 2, SEQ: 182
I (38478) wifi_lib: DONE with packet: 1, SEQ: 183
I (38538) wifi_lib: DONE with packet: 2, SEQ: 183
I (38648) wifi_lib: DONE with packet: 1, SEQ: 184
I (38718) wifi_lib: DONE with packet: 2, SEQ: 184
I (38798) wifi_lib: DONE with packet: 1, SEQ: 185
I (38878) wifi_lib: DONE with packet: 2, SEQ: 185
I (38968) wifi_lib: DONE with packet: 1, SEQ: 186
I (39048) wifi_lib: DONE with packet: 2, SEQ: 186
I (39148) wifi_lib: DONE with packet: 1, SEQ: 187
I (39218) wifi_lib: DONE with packet: 2, SEQ: 187
I (39328) wifi_lib: DONE with packet: 1, SEQ: 188
I (39388) wifi_lib: DONE with packet: 2, SEQ: 188
I (39498) wifi_lib: DONE with packet: 1, SEQ: 189
I (39568) wifi_lib: DONE with packet: 2, SEQ: 189
I (39678) wifi_lib: DONE with packet: 1, SEQ: 190
I (39728) wifi_lib: DONE with packet: 2, SEQ: 190
I (39838) wifi_lib: DONE with packet: 1, SEQ: 191
I (39898) wifi_lib: DONE with packet: 2, SEQ: 191
I (40088) wifi_lib: DONE with packet: 1, SEQ: 192
I (40148) wifi_lib: DONE with packet: 2, SEQ: 192
I (40328) wifi_lib: DONE with packet: 1, SEQ: 193
I (40398) wifi_lib: DONE with packet: 2, SEQ: 193
I (40498) wifi_lib: DONE with packet: 1, SEQ: 194
I (40568) wifi_lib: DONE with packet: 2, SEQ: 194
I (40668) wifi_lib: DONE with packet: 1, SEQ: 195
I (40728) wifi_lib: DONE with packet: 2, SEQ: 195
I (40828) wifi_lib: DONE with packet: 1, SEQ: 196
I (40888) wifi_lib: DONE with packet: 2, SEQ: 196
I (40998) wifi_lib: DONE with packet: 1, SEQ: 197
I (41058) wifi_lib: DONE with packet: 2, SEQ: 197
I (41168) wifi_lib: DONE with packet: 1, SEQ: 198
I (41238) wifi_lib: DONE with packet: 2, SEQ: 198
I (41338) wifi_lib: DONE with packet: 1, SEQ: 199
I (41398) wifi_lib: DONE with packet: 2, SEQ: 199
I (41508) wifi_lib: DONE with packet: 1, SEQ: 200
I (41568) wifi_lib: DONE with packet: 2, SEQ: 200
I (41678) wifi_lib: DONE with packet: 1, SEQ: 201
I (41748) wifi_lib: DONE with packet: 2, SEQ: 201
I (41848) wifi_lib: DONE with packet: 1, SEQ: 202
I (41908) wifi_lib: DONE with packet: 2, SEQ: 202
I (42098) wifi_lib: DONE with packet: 1, SEQ: 203
I (42158) wifi_lib: DONE with packet: 2, SEQ: 203
I (42398) wifi_lib: DONE with packet: 1, SEQ: 204
I (42458) wifi_lib: DONE with packet: 2, SEQ: 204
I (42588) wifi_lib: DONE with packet: 1, SEQ: 205
I (42648) wifi_lib: DONE with packet: 2, SEQ: 205
I (42748) wifi_lib: DONE with packet: 1, SEQ: 206
I (42818) wifi_lib: DONE with packet: 2, SEQ: 206
I (42918) wifi_lib: DONE with packet: 1, SEQ: 207
I (42988) wifi_lib: DONE with packet: 2, SEQ: 207
I (43098) wifi_lib: DONE with packet: 1, SEQ: 208
I (43168) wifi_lib: DONE with packet: 2, SEQ: 208
I (43288) wifi_lib: DONE with packet: 1, SEQ: 209
I (43348) wifi_lib: DONE with packet: 2, SEQ: 209
I (43448) wifi_lib: DONE with packet: 1, SEQ: 210
I (43518) wifi_lib: DONE with packet: 2, SEQ: 210
I (43628) wifi_lib: DONE with packet: 1, SEQ: 211
I (43688) wifi_lib: DONE with packet: 2, SEQ: 211
I (43798) wifi_lib: DONE with packet: 1, SEQ: 212
I (43858) wifi_lib: DONE with packet: 2, SEQ: 212
I (43968) wifi_lib: DONE with packet: 1, SEQ: 213
I (44028) wifi_lib: DONE with packet: 2, SEQ: 213
I (44138) wifi_lib: DONE with packet: 1, SEQ: 214
I (44198) wifi_lib: DONE with packet: 2, SEQ: 214
I (44308) wifi_lib: DONE with packet: 1, SEQ: 215
I (44368) wifi_lib: DONE with packet: 2, SEQ: 215
I (44468) wifi_lib: DONE with packet: 1, SEQ: 216
I (44538) wifi_lib: DONE with packet: 2, SEQ: 216
I (44648) wifi_lib: DONE with packet: 1, SEQ: 217
I (44698) wifi_lib: DONE with packet: 2, SEQ: 217
I (44808) wifi_lib: DONE with packet: 1, SEQ: 218
I (44878) wifi_lib: DONE with packet: 2, SEQ: 218
I (44978) wifi_lib: DONE with packet: 1, SEQ: 219
I (45048) wifi_lib: DONE with packet: 2, SEQ: 219
I (45148) wifi_lib: DONE with packet: 1, SEQ: 220
I (45228) wifi_lib: DONE with packet: 2, SEQ: 220
I (45328) wifi_lib: DONE with packet: 1, SEQ: 221
I (45398) wifi_lib: DONE with packet: 2, SEQ: 221
I (45508) wifi_lib: DONE with packet: 1, SEQ: 222
I (45558) wifi_lib: DONE with packet: 2, SEQ: 222
I (45668) wifi_lib: DONE with packet: 1, SEQ: 223
I (45728) wifi_lib: DONE with packet: 2, SEQ: 223
I (45838) wifi_lib: DONE with packet: 1, SEQ: 224
I (45898) wifi_lib: DONE with packet: 2, SEQ: 224
I (45998) wifi_lib: DONE with packet: 1, SEQ: 225
I (46058) wifi_lib: DONE with packet: 2, SEQ: 225
I (46248) wifi_lib: DONE with packet: 1, SEQ: 226
I (46298) wifi_lib: DONE with packet: 2, SEQ: 226
I (46398) wifi_lib: DONE with packet: 1, SEQ: 227
I (46448) wifi_lib: DONE with packet: 2, SEQ: 227
I (46558) wifi_lib: DONE with packet: 1, SEQ: 228
I (46608) wifi_lib: DONE with packet: 2, SEQ: 228
I (46718) wifi_lib: DONE with packet: 1, SEQ: 229
I (46758) wifi_lib: DONE with packet: 2, SEQ: 229
I (46868) wifi_lib: DONE with packet: 1, SEQ: 230
I (46908) wifi_lib: DONE with packet: 2, SEQ: 230
I (47028) wifi_lib: DONE with packet: 1, SEQ: 231
I (47068) wifi_lib: DONE with packet: 2, SEQ: 231
